Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_009824982,Murine hepatitis virus,RefSeq,GCF_003971785.1,NC_048217,,"Sawicki,S.G., Sawicki,D.L., Younker,D., Meyer,Y., Thiel,V., Stokes,H., Siddell,S.G., Coley,S.E., Lavi,E., Fu,L., Schelle,B., Karl,N.",2020-05-15,,Murine coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1324,,,2,spike glycoprotein,,,,,,,,PRJNA485481,spike glycoprotein [Murine hepatitis virus]
YP_009824990,Bat coronavirus,RefSeq,GCF_012271725.1,NC_048212,,"Yinda,C.K., Ghogomu,S.M., Conceicao-Neto,N., Beller,L., Deboutte,W., Vanhulle,E., Maes,P., Van Ranst,M., Matthijnssens,J.",2020-05-15,CMR704-P12,Bat coronavirus,,Coronaviridae,ssRNA(+),1269,,,1,spike protein,Cameroon,Cameroon,,Eidolon helvum,feces,2013-12,,PRJNA485481,spike protein [Bat coronavirus]
YP_009824998,Infectious bronchitis virus,RefSeq,GCF_012271575.1,NC_048213,,"Senthil Kumar,V., Raja,A., Vijayarani,K., Roy,P.",2020-05-15,Ind-TN92-03,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1153,,,,spike glycoprotein,India,India,,Gallus gallus,kidney,2003,,PRJNA485481,spike glycoprotein [Infectious bronchitis virus]
YP_009825008,Duck coronavirus,RefSeq,GCF_012271565.1,NC_048214,,"Zhuang,Q.Y., Wang,K.C., Liu,S., Hou,G.Y., Jiang,W.M., Wang,S.C., Li,J.P., Yu,J.M., Chen,J.M., Zhuang,Q., Wang,K., Hou,G., Jiang,W., Wang,S., Li,J., Yu,J., Chen,J.",2020-05-15,DK/GD/27/2014,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1191,,,1,spike protein,China,China,,Anatidae,,2014,,PRJNA485481,spike protein [Duck coronavirus]
YP_009755834,Rodent coronavirus,RefSeq,GCF_012271615.1,NC_046954,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2020-04-12,RtMruf-CoV-2/JL2014,Rodent coronavirus,,Coronaviridae,ssRNA(+),1361,,,1,spike glycoprotein,China,China,,Myodes rufocanus,,2014-08,,PRJNA485481,spike glycoprotein [Rodent coronavirus]
YP_009755839,Shrew coronavirus,RefSeq,GCF_012271625.1,NC_046955,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2020-04-12,Shrew-CoV/Tibet2014,Shrew coronavirus,,Coronaviridae,ssRNA(+),1221,,,1,spike glycoprotein,China,China,,Sorex araneus,,2014-12,,PRJNA485481,spike glycoprotein [Shrew coronavirus]
YP_009755890,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,RefSeq,GCF_012271735.1,NC_046964,,"De Sabato,L., Lelli,D., Faccin,F., Canziani,S., Di Bartolo,I., Vaccari,G., Moreno,A.",2020-04-12,,Pipistrellus kuhlii coronavirus 3398,Alphacoronavirus,Coronaviridae,ssRNA(+),1399,,,1,spike protein,Italy,Italy,,Pipistrellus kuhlii,feces,2015,,PRJNA485481,spike protein [Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015]
YP_009755897,Canada goose coronavirus,RefSeq,GCF_012271745.1,NC_046965,,"Papineau,A., Berhane,Y., Wylie,T.N., Wylie,K.M., Sharpe,S., Lung,O., Wylie,T., Wylie,K.",2020-04-12,,Canada goose coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1184,,,1,spike protein,Canada,Canada,,Branta canadensis,feces,2017-08,,PRJNA485481,spike protein [Canada goose coronavirus]
YP_002308479,Bulbul coronavirus HKU11-934,RefSeq,GCF_002816215.1,NC_011547,,"Woo,P.C., Lau,S.K., Lam,C.S., Lai,K.K., Huang,Y., Lee,P., Luk,G.S., Dyrting,K.C., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lai,K.K.Y., Luk,G.",2018-08-24,,Bulbul coronavirus HKU11,Deltacoronavirus,Coronaviridae,ssRNA(+),1165,,,1,spike glycoprotein,Hong Kong,Hong Kong,,Pycnonotus jocosus,,2007-01,,PRJNA485481,spike glycoprotein [Bulbul coronavirus HKU11-934]
YP_009513010,Betacoronavirus Erinaceus/VMC/DEU/2012,RefSeq,GCF_002816175.1,NC_039207,,"Corman,V.M., Kallies,R., Philipps,H., Gopner,G., Muller,M.A., Eckerle,I., Brunink,S., Drosten,C., Drexler,J.F.",2018-08-24,ErinaceusCoV/2012-174/GER/2012,Hedgehog coronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1330,,,1,spike protein,Germany,Germany,,Erinaceus europaeus,feces,2012,,PRJNA485481,spike protein [Betacoronavirus Erinaceus/VMC/DEU/2012]
YP_009513021,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2018-08-24,,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,1,spike glycoprotein,China: Hong Kong,China,,Sus scrofa,,2010,,PRJNA485481,spike glycoprotein [Porcine coronavirus HKU15]
YP_009389425,Wencheng Sm shrew coronavirus,RefSeq,GCF_002219865.1,NC_035191,,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.",2017-07-14,Xingguo-101,Wencheng Sm shrew coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1134,,,1,spike glycoprotein,China,China,,Suncus murinus,,2015,,PRJNA485481,spike glycoprotein [Wencheng Sm shrew coronavirus]
YP_009380521,Coronavirus AcCoV-JC34,RefSeq,GCF_002194405.1,NC_034972,,"Ge,X.Y., Yang,W.H., Zhou,J.H., Li,B., Zhang,W., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Zhang,Y.-Z., Yang,W.-H., Zhou,J.-H., Shi,Z.-L.",2017-06-13,AcCoV-JC34,Coronavirus AcCoV-JC34,Alphacoronavirus,Coronaviridae,ssRNA(+),1126,,,1,spike protein,China,China,,Apodemus chevrieri,,2011-10,,PRJNA485481,spike protein [Coronavirus AcCoV-JC34]
YP_009361857,Bat coronavirus,RefSeq,GCF_002118885.1,NC_034440,,"Anthony,S.J., Gilardi,K., Menachery,V.D., Goldstein,T., Ssebide,B., Mbabazi,R., Navarrete-Macias,I., Liang,E., Wells,H., Hicks,A., Petrosov,A., Byarugaba,D.K., Debbink,K., Dinnon,K.H., Scobey,T., Randell,S.H., Yount,B.L., Cranfield,M., Johnson,C.K., Baric,R.S., Lipkin,W.I., Mazet,J.A., Gilardi,K.V., Wells,H.L., Hicks,A.L., Byarugaba,D., Mazet,J.K.",2017-05-05,PREDICT/PDF-2180,Bat coronavirus,,Coronaviridae,ssRNA(+),1345,,,1,spike protein,Uganda,Uganda,,Pipistrellus,feces,2013-02-20,,PRJNA485481,spike protein [Bat coronavirus]
YP_009336484,Lucheng Rn rat coronavirus,RefSeq,GCF_001962315.1,NC_032730,,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Wang,C.Q., Ge,S., Mei,S.H., Shi,M., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",2017-01-17,Lucheng-19,Lucheng Rn rat coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1134,,,2,spike glycoprotein,China,China,,Rattus norvegicus,,2013,,PRJNA485481,spike glycoprotein [Lucheng Rn rat coronavirus]
YP_009273005,Rousettus bat coronavirus,RefSeq,GCF_001725835.1,NC_030886,,"Obameso,J.O., Li,H., Jia,H., Han,M., Zhu,S., Huang,C., Zhao,Y., Zhao,M., Bai,Y., Yuan,F., Zhao,H., Peng,X., Xu,W., Tan,W., Yuen,K.Y., Liu,W.J., Lu,L., Gao,G.F., Jin,T., Song,J., Shi,Y., Ji,W., Zhou,Y., Wen,H., Liu,H., Wang,Q., Wu,Y., Wang,L., Liu,D., Liu,G., Yu,H., Holmes,E.C., Liu,J., Holmes,E.",2016-09-12,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Betacoronavirus,Coronaviridae,ssRNA(+),1290,,,2,spike protein,China,China,,Rousettus leschenaultii,feces,2014-05-28,,PRJNA485481,spike protein [Rousettus bat coronavirus]
YP_009256197,Ferret coronavirus,RefSeq,GCF_001661775.1,NC_030292,,"Lamers,M.M., Smits,S.L., Hundie,G.B., Provacia,L.B., Koopmans,M., Osterhaus,A.D.M.E., Haagmans,B.L., Raj,V.S., Stalin Raj,V., Provacia,L.B.V.",2016-06-10,FRCoV-NL-2010,Ferret coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1438,,,1,spike protein,Netherlands,Netherlands,,Mustela putorius,,2010,,PRJNA485481,spike protein [Ferret coronavirus]
YP_009194639,Camel alphacoronavirus,RefSeq,GCF_001500975.1,NC_028752,,"Sabir,J.S., Lam,T.T., Ahmed,M.M., Li,L., Shen,Y., Abo-Aba,S.E., Qureshi,M.I., Abu-Zeid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H., Kabli,S.A., Alsulaimany,F.A., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y., Sabir,J.S.M., Lam,T.Y., AboAba,S., Abu-Zaid,M., Mutwakil,M.H.Z., Alsulaimany,F.A.S.",2016-01-05,camel/Riyadh/Ry141/2015,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),1169,,,1,spike protein,Saudi Arabia,Saudi Arabia,,Camelus,,2015-03,,PRJNA485481,spike protein [Camel alphacoronavirus]
YP_009199242,Swine enteric coronavirus,RefSeq,GCF_001501415.1,NC_028806,,"Boniotti,M.B., Papetti,A., Lavazza,A., Alborali,G., Sozzi,E., Chiapponi,C., Faccini,S., Bonilauri,P., Cordioli,P., Marthaler,D.",2016-01-05,,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),1382,,,1,spike protein,Italy,Italy,,Sus scrofa,,2009-09-04,,PRJNA485481,spike protein [Swine enteric coronavirus]
YP_009199609,BtMr-AlphaCoV/SAX2011,RefSeq,GCF_001503155.1,NC_028811,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtMr-SAX2011,Myotis ricketti alphacoronavirus Sax-2011,Alphacoronavirus,Coronaviridae,ssRNA(+),1387,,,1,spike glycoprotein,China,China,,Myotis ricketti,,2011,,PRJNA485481,spike glycoprotein [BtMr-AlphaCoV/SAX2011]
YP_009199790,BtRf-AlphaCoV/HuB2013,RefSeq,GCF_001504755.1,NC_028814,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtRf-HuB2013,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),1370,,,1,spike glycoprotein,China,China,,Rhinolophus ferrumequinum,,2013,,PRJNA485481,spike glycoprotein [BtRf-AlphaCoV/HuB2013]
YP_009200735,BtRf-AlphaCoV/YN2012,RefSeq,GCF_001501755.1,NC_028824,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtRf-YN2012,BtRf-AlphaCoV/YN2012,Alphacoronavirus,Coronaviridae,ssRNA(+),1132,,,1,spike glycoprotein,China,China,,Rhinolophus ferrumequinum,,2012,,PRJNA485481,spike glycoprotein [BtRf-AlphaCoV/YN2012]
YP_009201730,BtNv-AlphaCoV/SC2013,RefSeq,GCF_001505415.1,NC_028833,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtNv-SC2013,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),1343,,,1,spike glycoprotein,China,China,,Nyctalus velutinus,,2013,,PRJNA485481,spike glycoprotein [BtNv-AlphaCoV/SC2013]
YP_009113025,Betacoronavirus HKU24,RefSeq,GCF_000930095.1,NC_026011,,"Lau,S.K., Woo,P.C., Li,K.S., Tsang,A.K., Fan,R.Y., Luk,H.K., Cai,J.P., Chan,K.H., Zheng,B.J., Wang,M., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Fan,R.Y.Y., Luk,H.K.H., Cai,J.-P., Chan,K.-H., Yuen,K.-Y.",2015-01-07,,China Rattus coronavirus HKU24,Betacoronavirus,Coronaviridae,ssRNA(+),1358,,,1,spike glycoprotein,China,China,,Rattus norvegicus,,2012-05-17,,PRJNA485481,spike glycoprotein [Betacoronavirus HKU24]
YP_009072440,Bat Hp-betacoronavirus/Zhejiang2013,RefSeq,GCF_000926915.1,NC_025217,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2014-10-03,Zhejiang2013,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,Coronaviridae,ssRNA(+),1317,,,2,spike protein,China,China,,Hipposideros pratti,,2013-04-29,,PRJNA485481,spike protein [Bat Hp-betacoronavirus/Zhejiang2013]
YP_009047204,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,,"Zaki,A.M., van Boheemen,S., Bestebroer,T.M., Osterhaus,A.D., Fouchier,R.A., de Graaf,M., Lauber,C., Raj,V.S., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.",2014-07-23,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1353,,,2,spike protein,,,,Homo sapiens,,2012-06-13,,PRJNA485481,spike protein [Middle East respiratory syndrome-related coronavirus]
YP_009019182,Mink coronavirus strain WD1127,RefSeq,GCF_000919475.1,NC_023760,,"Vlasova,A.N., Halpin,R., Wang,S., Ghedin,E., Spiro,D.J., Saif,L.J., Spiro,D., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A., Saif,L.",2014-03-12,,Mink coronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),1438,,,1,spike protein,USA: Wisconsin,USA,WI,Neogale vison,,1998-01-01,,PRJNA485481,spike protein [Mink coronavirus strain WD1127]
YP_008439202,Bat coronavirus CDPHE15/USA/2006,RefSeq,GCF_000913415.1,NC_022103,,"Town,C.D., Halpin,R.A., Nguyen,A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E., Holmes,K.",2013-08-20,,Bat coronavirus CDPHE15,Alphacoronavirus,Coronaviridae,ssRNA(+),1364,,,,spike glycoprotein,"USA: Boulder County, CO",USA,CO,Myotis lucifugus,,2006-08-07,,PRJNA485481,spike glycoprotein [Bat coronavirus CDPHE15/USA/2006]
YP_007188579,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,,"de Groot,R.J., Baker,S.C., Baric,R.S., Brown,C.S., Drosten,C., Enjuanes,L., Fouchier,R.A., Galiano,M., Gorbalenya,A.E., Memish,Z.A., Perlman,S., Poon,L.L., Snijder,E.J., Stephens,G.M., Woo,P.C., Zaki,A.M., Zambon,M., Ziebuhr,J., Cotten,M., Lam,T.T., Watson,S.J., Palser,A.L., Petrova,V., Grant,P., Pybus,O.G., Rambaut,A., Guan,Y., Pillay,D., Kellam,P., Nastouli,E., Myers,R., Bermingham,A., Gopal,R.",2012-12-13,H123990006,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1353,,,2,spike protein,United Kingdom,United Kingdom,,Homo sapiens,,2012-09-11,,PRJNA485481,spike protein [Betacoronavirus England 1]
YP_006908642,Rousettus bat coronavirus HKU10,RefSeq,GCF_000899495.1,NC_018871,,"Lau,S.K., Li,K.S., Tsang,A.K., Shek,C.T., Wang,M., Choi,G.K., Guo,R., Wong,B.H., Poon,R.W., Lam,C.S., Wang,S.Y., Fan,R.Y., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Shek,C.-T., Choi,G.K.Y., Wong,B.H.L., Poon,R.W.S., Lam,C.S.F., Wang,S.Y.H., Fan,R.Y.Y., Chan,K.-H., Zheng,B.-J., Yuen,K.-Y.",2012-11-01,183A,Bat coronavirus HKU10,Alphacoronavirus,Coronaviridae,ssRNA(+),1349,,,1,spike glycoprotein,China,China,,Chiroptera,,2005-10,,PRJNA485481,spike glycoprotein [Rousettus bat coronavirus HKU10]
YP_005454245,Rabbit coronavirus HKU14,RefSeq,GCF_000896935.1,NC_017083,,"Lau,S.K., Woo,P.C., Yip,C.C., Fan,R.Y., Huang,Y., Wang,M., Guo,R., Lam,C.S., Tsang,A.K., Lai,K.K., Chan,K.H., Che,X.Y., Zheng,B.J., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Yip,C.C.Y., Fan,R.Y.Y., Guo,R.T., Lam,C.S.F., Lai,K.K.Y.",2012-07-10,,Rabbit coronavirus HKU14,Betacoronavirus,Coronaviridae,ssRNA(+),1362,,,1,spike protein,China,China,,Oryctolagus cuniculus,,2006,,PRJNA485481,spike protein [Rabbit coronavirus HKU14]
YP_005352838,White-eye coronavirus HKU16,RefSeq,GCF_000896875.1,NC_016991,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2012-03-30,,White-eye coronavirus HKU16,Deltacoronavirus,Coronaviridae,ssRNA(+),1179,,,1,spike glycoprotein,China: Hong Kong,China,,Zosteropidae,,2007,,PRJNA485481,spike glycoprotein [White-eye coronavirus HKU16]
YP_005352846,Sparrow coronavirus HKU17,RefSeq,GCF_000868165.1,NC_016992,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2012-03-30,,Sparrow coronavirus HKU17,Deltacoronavirus,Coronaviridae,ssRNA(+),1206,,,1,spike glycoprotein,China: Hong Kong,China,,Passeridae,,2007,,PRJNA485481,spike glycoprotein [Sparrow coronavirus HKU17]
YP_005352854,Magpie-robin coronavirus HKU18,RefSeq,GCF_000894435.1,NC_016993,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2012-03-30,,Magpie-robin coronavirus HKU18,Deltacoronavirus,Coronaviridae,ssRNA(+),1217,,,1,spike glycoprotein,China: Hong Kong,China,,Muscicapidae,,2007,,PRJNA485481,spike glycoprotein [Magpie-robin coronavirus HKU18]
YP_005352863,Night heron coronavirus HKU19,RefSeq,GCF_000896035.1,NC_016994,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2012-03-30,,Night heron coronavirus HKU19,Deltacoronavirus,Coronaviridae,ssRNA(+),1254,,,1,spike glycoprotein,China: Hong Kong,China,,Ardeidae,,2007,,PRJNA485481,S gene product [Night heron coronavirus HKU19]
